OBJECTID,Province_State,Country_Region,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key,datetime
1,NA,Afghanistan,33.93911,67.709953,158974,0,7383,0,NA,NA,Afghanistan,2022-01-18 16:21:15
2,NA,Albania,41.1533,20.1683,233654,0,3271,0,NA,NA,Albania,2022-01-18 16:21:15
3,NA,Algeria,28.0339,1.6596,226749,0,6423,0,NA,NA,Algeria,2022-01-18 16:21:15
4,NA,Andorra,42.5063,1.5218,29888,0,142,0,NA,NA,Andorra,2022-01-18 16:21:15
5,NA,Angola,-11.2027,17.8739,93974,0,1866,0,NA,NA,Angola,2022-01-18 16:21:15
6,NA,Antigua and Barbuda,17.0608,-61.7964,5321,0,120,0,NA,NA,Antigua and Barbuda,2022-01-18 16:21:15
7,NA,Argentina,-38.4161,-63.6167,7197323,0,118231,0,NA,NA,Argentina,2022-01-18 16:21:15
8,NA,Armenia,40.0691,45.0382,348145,0,8022,0,NA,NA,Armenia,2022-01-18 16:21:15
9,Australian Capital Territory,Australia,-35.4735,149.0124,26341,0,20,0,NA,NA,Australian Capital Territory, Australia,2022-01-18 16:21:15
10,New South Wales,Australia,-33.8688,151.2093,832520,0,919,0,NA,NA,New South Wales, Australia,2022-01-18 16:21:15
11,Northern Territory,Australia,-12.4634,130.8456,7318,0,2,0,NA,NA,Northern Territory, Australia,2022-01-18 16:21:15
12,Queensland,Australia,-27.4698,153.0251,245633,0,52,0,NA,NA,Queensland, Australia,2022-01-18 16:21:15
13,South Australia,Australia,-34.9285,138.6007,78301,0,44,0,NA,NA,South Australia, Australia,2022-01-18 16:21:15
14,Tasmania,Australia,-42.8821,147.3272,20361,0,13,0,NA,NA,Tasmania, Australia,2022-01-18 16:21:15
15,Victoria,Australia,-37.8136,144.9631,664238,0,1717,0,NA,NA,Victoria, Australia,2022-01-18 16:21:15
16,Western Australia,Australia,-31.9505,115.8605,1323,0,9,0,NA,NA,Western Australia, Australia,2022-01-18 16:21:15
17,NA,Austria,47.5162,14.5501,1475991,0,13942,0,NA,NA,Austria,2022-01-18 16:21:15
18,NA,Azerbaijan,40.1431,47.5769,627015,0,8541,0,NA,NA,Azerbaijan,2022-01-18 16:21:15
19,NA,Bahamas,25.025885,-78.035889,30850,0,719,0,NA,NA,Bahamas,2022-01-18 16:21:15
20,NA,Bahrain,26.0275,50.55,310906,0,1398,0,NA,NA,Bahrain,2022-01-18 16:21:15
21,NA,Bangladesh,23.685,90.3563,1632794,0,28164,0,NA,NA,Bangladesh,2022-01-18 16:21:15
22,NA,Barbados,13.1939,-59.5432,35734,0,269,0,NA,NA,Barbados,2022-01-18 16:21:15
23,NA,Belarus,53.7098,27.9534,718098,0,5850,0,NA,NA,Belarus,2022-01-18 16:21:15
24,Antwerp,Belgium,51.2195,4.4024,358901,0,0,0,NA,NA,Antwerp, Belgium,2022-01-18 16:21:15
25,Brussels,Belgium,50.8503,4.3517,309827,0,0,0,NA,NA,Brussels, Belgium,2022-01-18 16:21:15
26,East Flanders,Belgium,51.0362,3.7373,310075,0,0,0,NA,NA,East Flanders, Belgium,2022-01-18 16:21:15
27,Flemish Brabant,Belgium,50.9167,4.5833,225915,0,0,0,NA,NA,Flemish Brabant, Belgium,2022-01-18 16:21:15
28,Hainaut,Belgium,50.5257,4.0621,291793,0,0,0,NA,NA,Hainaut, Belgium,2022-01-18 16:21:15
29,Liege,Belgium,50.4496,5.8492,257040,0,0,0,NA,NA,Liege, Belgium,2022-01-18 16:21:15
30,Limburg,Belgium,50.9739,5.342,163804,0,0,0,NA,NA,Limburg, Belgium,2022-01-18 16:21:15
31,Luxembourg,Belgium,50.0547,5.4677,63278,0,0,0,NA,NA,Luxembourg, Belgium,2022-01-18 16:21:15
32,Namur,Belgium,50.331,4.8221,113220,0,0,0,NA,NA,Namur, Belgium,2022-01-18 16:21:15
33,Unknown,Belgium,NA,NA,40989,0,28661,0,NA,NA,Unknown, Belgium,2022-01-18 16:21:15
34,Walloon Brabant,Belgium,50.4,4.35,96405,0,0,0,NA,NA,Walloon Brabant, Belgium,2022-01-18 16:21:15
35,West Flanders,Belgium,51.0536,3.1458,252780,0,0,0,NA,NA,West Flanders, Belgium,2022-01-18 16:21:15
36,NA,Belize,17.1899,-88.4976,41867,0,611,0,NA,NA,Belize,2022-01-18 16:21:15
37,NA,Benin,9.3077,2.3158,26036,0,162,0,NA,NA,Benin,2022-01-18 16:21:15
38,NA,Bhutan,27.5142,90.4336,3170,0,3,0,NA,NA,Bhutan,2022-01-18 16:21:15
39,NA,Bolivia,-16.2902,-63.5887,763392,0,20291,0,NA,NA,Bolivia,2022-01-18 16:21:15
40,NA,Bosnia and Herzegovina,43.9159,17.6791,321034,0,13888,0,NA,NA,Bosnia and Herzegovina,2022-01-18 16:21:15
41,NA,Botswana,-22.3285,24.6849,239887,0,2534,0,NA,NA,Botswana,2022-01-18 16:21:15
42,Acre,Brazil,-9.0238,-70.812,90250,0,1854,0,NA,NA,Acre, Brazil,2022-01-18 16:21:15
43,Alagoas,Brazil,-9.5713,-36.782,246044,0,6395,0,NA,NA,Alagoas, Brazil,2022-01-18 16:21:15
44,Amapa,Brazil,0.902,-52.003,129580,0,2031,0,NA,NA,Amapa, Brazil,2022-01-18 16:21:15
45,Amazonas,Brazil,-3.4168,-65.8561,452433,0,13858,0,NA,NA,Amazonas, Brazil,2022-01-18 16:21:15
46,Bahia,Brazil,-12.5797,-41.7007,1290351,0,27672,0,NA,NA,Bahia, Brazil,2022-01-18 16:21:15
47,Ceara,Brazil,-5.4984,-39.3206,978476,0,24913,0,NA,NA,Ceara, Brazil,2022-01-18 16:21:15
48,Distrito Federal,Brazil,-15.7998,-47.8645,546900,0,11128,0,NA,NA,Distrito Federal, Brazil,2022-01-18 16:21:15
49,Espirito Santo,Brazil,-19.1834,-40.3089,671240,0,13376,0,NA,NA,Espirito Santo, Brazil,2022-01-18 16:21:15
50,Goias,Brazil,-15.827,-49.8362,972995,0,24769,0,NA,NA,Goias, Brazil,2022-01-18 16:21:15
51,Maranhao,Brazil,-4.9609,-45.2744,374563,0,10422,0,NA,NA,Maranhao, Brazil,2022-01-18 16:21:15
52,Mato Grosso,Brazil,-12.6819,-56.9211,579494,0,14130,0,NA,NA,Mato Grosso, Brazil,2022-01-18 16:21:15
53,Mato Grosso do Sul,Brazil,-20.7722,-54.7852,392408,0,9759,0,NA,NA,Mato Grosso do Sul, Brazil,2022-01-18 16:21:15
54,Minas Gerais,Brazil,-18.5122,-44.555,2362231,0,56832,0,NA,NA,Minas Gerais, Brazil,2022-01-18 16:21:15
55,Para,Brazil,-1.9981,-54.9306,634200,0,17249,0,NA,NA,Para, Brazil,2022-01-18 16:21:15
56,Paraiba,Brazil,-7.24,-36.782,468652,0,9617,0,NA,NA,Paraiba, Brazil,2022-01-18 16:21:15
57,Parana,Brazil,-25.2521,-52.0215,1709569,0,40940,0,NA,NA,Parana, Brazil,2022-01-18 16:21:15
58,Pernambuco,Brazil,-8.8137,-36.9541,655476,0,20554,0,NA,NA,Pernambuco, Brazil,2022-01-18 16:21:15
59,Piaui,Brazil,-7.7183,-42.7289,345171,0,7323,0,NA,NA,Piaui, Brazil,2022-01-18 16:21:15
60,Rio Grande do Norte,Brazil,-5.4026,-36.9541,394421,0,7604,0,NA,NA,Rio Grande do Norte, Brazil,2022-01-18 16:21:15
61,Rio Grande do Sul,Brazil,-30.0346,-51.2177,1594960,0,36533,0,NA,NA,Rio Grande do Sul, Brazil,2022-01-18 16:21:15
62,Rio de Janeiro,Brazil,-22.9068,-43.1729,1444349,0,69586,0,NA,NA,Rio de Janeiro, Brazil,2022-01-18 16:21:15
63,Rondonia,Brazil,-11.5057,-63.5806,291441,0,6791,0,NA,NA,Rondonia, Brazil,2022-01-18 16:21:15
64,Roraima,Brazil,-2.7376,-62.0751,133029,0,2078,0,NA,NA,Roraima, Brazil,2022-01-18 16:21:15
65,Santa Catarina,Brazil,-27.2423,-50.2189,1304925,0,20284,0,NA,NA,Santa Catarina, Brazil,2022-01-18 16:21:15
66,Sao Paulo,Brazil,-23.5505,-46.6333,4501846,0,155741,0,NA,NA,Sao Paulo, Brazil,2022-01-18 16:21:15
67,Sergipe,Brazil,-10.5741,-37.3857,280308,0,6067,0,NA,NA,Sergipe, Brazil,2022-01-18 16:21:15
68,Tocantins,Brazil,-10.1753,-48.2982,244197,0,3972,0,NA,NA,Tocantins, Brazil,2022-01-18 16:21:15
